,player_id,player_display_name,headshot_url,position,team,games_played,total_fantasy_ppr,avg_fantasy_ppr,std_fantasy_ppr,total_passing_yards,total_passing_tds,total_passing_2pt_conversions,total_rushing_yards,total_rushing_tds,total_carries,total_rushing_2pt_conversions,total_targets,total_receptions,total_receiving_yards,total_receiving_tds,total_interceptions,total_fumbles_lost
73,00-0036322,Justin Jefferson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f0ccavu3ppzcs51e1cuv",WR,MIN,16,183.1,11.44375,5.722816177372815,0,0,0,4,0,1,0,130,76,947,2,0,0
74,00-0040128,Tyler Warren,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jt2almbzdk0kbha39otb",TE,IND,16,180.9,11.30625,4.952099723013124,0,0,0,8,1,6,0,104,71,791,4,0,0
75,00-0039915,Ladd McConkey,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsvdiebsa34jtkcrjpju",WR,LAC,16,180.9,11.30625,6.855408448808867,0,0,0,0,0,0,0,106,66,789,6,0,0
76,00-0040676,Cam Ward,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",QB,TEN,16,177.48,11.0925,5.554869935471037,3117,15,0,148,1,37,0,0,0,0,0,7,7
77,00-0039868,Troy Franklin,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/belpdlyoda8cmzbvjkqh",WR,DEN,16,177.1,11.06875,7.371179801542401,0,0,0,12,0,5,0,103,65,709,6,0,1
78,00-0035261,Tony Pollard,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dvpdczetkdhrqpm8izmd",RB,TEN,16,176.3,11.01875,5.791282960910591,0,0,0,1034,5,228,0,38,30,189,0,0,3
79,00-0039338,Brock Bowers,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzp2ffi0lomamxofsrhy",TE,LV,12,176.2,14.683333333333332,10.123674623316766,0,0,0,2,0,2,0,86,64,680,7,0,0
80,00-0038134,Kenneth Walker III,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mnzsnemdzbey5hbahdhk",RB,SEA,16,174.6,10.9125,6.551221260192636,0,0,0,930,5,205,0,32,27,246,0,0,0
81,00-0030565,Geno Smith,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqy0933vz5yogwlefb1s",QB,LV,15,173.9,11.593333333333334,7.288765000882882,3025,19,1,109,0,41,0,0,0,0,0,17,1
82,00-0036040,Juwan Johnson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wuyyzdqkh5fve8t7kfuv",TE,NO,16,172.8,10.8,4.895848581536538,0,0,0,0,0,0,0,97,74,828,3,0,1
83,00-0037834,Brock Purdy,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",QB,SF,8,172.2,21.525,9.337651892052028,2040,20,1,126,3,31,0,0,0,0,0,9,2
84,00-0030279,Keenan Allen,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ri267r6lzfwarh89hsn6",WR,LAC,16,172.1,10.75625,7.028984635066431,0,0,0,0,0,0,0,109,74,741,4,0,0
85,00-0038544,Quentin Johnston,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bpzdpin1xp1kjxmbkq6d",WR,LAC,13,171.2,13.169230769230769,7.442936765303578,0,0,0,7,0,2,0,84,51,735,8,0,1
86,00-0034827,DJ Moore,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qphturmeiifnqrnf5pax",WR,CHI,16,170.08,10.63,8.184945530260622,2,1,0,79,1,15,0,82,49,671,6,0,0
87,00-0040784,Quinshon Judkins,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ojtce2im0wp2ltyel0vc",RB,CLE,14,169.8,12.12857142857143,6.729662075346105,0,0,0,827,7,230,1,36,26,171,0,0,0
88,00-0033090,Hunter Henry,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l0fsrutz9fwbohx10lcf",TE,NE,16,168.20000000000002,10.512500000000001,7.514064590264491,0,0,0,0,0,0,0,82,55,712,7,0,0
89,00-0037261,Khalil Shakir,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/otadttbhvkmavhsonnqm",WR,BUF,16,166.4,10.4,5.800689614175198,0,0,0,5,0,1,0,95,72,719,4,0,1
90,00-0034383,Dalton Schultz,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xbl9mhuamzv5udb4hyzj",TE,HOU,16,166.4,10.4,5.8197365347009775,0,0,0,0,0,0,0,102,78,704,3,0,0
91,00-0036259,Jauan Jennings,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cdx9mq3iglzog9mkqvdr",WR,SF,14,165.8,11.842857142857143,5.810297792674696,0,0,0,0,0,0,0,84,51,608,9,0,1
92,00-0037816,Romeo Doubs,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ov2llp1bfetznmngqybi",WR,GB,16,165.4,10.3375,7.260842467188868,0,0,0,0,0,0,0,85,55,724,6,0,0
93,00-0038606,Parker Washington,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqgxayp6nrrpvwonksdm",WR,JAX,15,165.0,11.0,7.327346040688948,0,0,0,0,0,7,0,86,53,760,4,0,0
94,00-0039165,Zach Charbonnet,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jqbzg5e8pdltbnb7hc8p",RB,SEA,15,162.7,10.846666666666666,6.629357506755912,0,0,0,656,11,167,1,20,17,121,0,0,0
95,00-0036212,Tua Tagovailoa,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ktqj3s5vofexl2dwrrp4",QB,MIA,14,160.7,11.478571428571428,7.29722587662637,2660,20,1,43,0,20,0,0,0,0,0,15,1
